series_id,source_pdf,source_page,source_figure,year,region,sex,age_class,age_class_source,value,flag,retrieved_at
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,30～39歳,30～39歳,3519,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,40～49歳,40～49歳,4936,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,50～59歳,50～59歳,4815,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7143,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,不詳,不詳,81,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1985,全国,総数,合計,合計,23599,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,～19歳,～９歳|10～19歳,802,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,20～29歳,20～29歳,2824,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,30～39歳,30～39歳,3687,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,40～49歳,40～49歳,4948,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,50～59歳,50～59歳,5385,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,60歳～,60～69歳|70～79歳|80歳～,7794,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,不詳,不詳,84,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1986,全国,総数,合計,合計,25524,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,～19歳,～９歳|10～19歳,577,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,20～29歳,20～29歳,2588,,2026-09-07T08:43:26+00:00
npa_suicide_age_annual,R7jisatsunojoukyou.pdf,32,図表４－12,1987,全国,総数,30～39歳,30～39歳,3447,,2026-09-07T08:43:26+00:00
