series_id,stats_data_id,reference_date,source_population_definition,unit,year,sex,age,category,subcategory,value,flag,retrieved_at
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1319,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1295,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1378,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1400,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1410,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1465,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1623,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1862,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2096,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2175,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1659,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1361,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1958,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1402,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,989,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,482,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1965年,人口動態統計確定数（日本における日本人）,人,1965,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,460,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1960年,人口動態統計確定数（日本における日本人）,人,1960,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,534,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1955年,人口動態統計確定数（日本における日本人）,人,1955,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,686,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1950年,人口動態統計確定数（日本における日本人）,人,1950,男,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,656,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2024年,人口動態統計確定数（日本における日本人）,人,2024,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,464,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2023年,人口動態統計確定数（日本における日本人）,人,2023,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,497,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2022年,人口動態統計確定数（日本における日本人）,人,2022,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,572,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2021年,人口動態統計確定数（日本における日本人）,人,2021,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,571,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2020年,人口動態統計確定数（日本における日本人）,人,2020,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,582,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,506,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,521,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,494,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,488,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,555,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,581,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,584,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,603,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,477,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,538,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,568,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,620,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,656,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,581,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,511,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,387,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1965年,人口動態統計確定数（日本における日本人）,人,1965,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,304,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1960年,人口動態統計確定数（日本における日本人）,人,1960,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,420,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1955年,人口動態統計確定数（日本における日本人）,人,1955,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,369,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1950年,人口動態統計確定数（日本における日本人）,人,1950,女,45～49歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,377,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2024年,人口動態統計確定数（日本における日本人）,人,2024,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1985,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2023年,人口動態統計確定数（日本における日本人）,人,2023,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2217,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2022年,人口動態統計確定数（日本における日本人）,人,2022,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2162,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2021年,人口動態統計確定数（日本における日本人）,人,2021,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1852,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2020年,人口動態統計確定数（日本における日本人）,人,2020,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1746,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1748,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1854,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1830,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1853,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2008,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2015,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2211,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2615,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,3208,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,3934,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2539,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2019,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2740,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1695,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1195,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,894,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1965年,人口動態統計確定数（日本における日本人）,人,1965,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,891,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1960年,人口動態統計確定数（日本における日本人）,人,1960,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1057,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1955年,人口動態統計確定数（日本における日本人）,人,1955,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1082,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1950年,人口動態統計確定数（日本における日本人）,人,1950,総数,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1021,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2024年,人口動態統計確定数（日本における日本人）,人,2024,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1397,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2023年,人口動態統計確定数（日本における日本人）,人,2023,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1549,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2022年,人口動態統計確定数（日本における日本人）,人,2022,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1516,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2021年,人口動態統計確定数（日本における日本人）,人,2021,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1276,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2020年,人口動態統計確定数（日本における日本人）,人,2020,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1201,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2019年,人口動態統計確定数（日本における日本人）,人,2019,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1264,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2018年,人口動態統計確定数（日本における日本人）,人,2018,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1319,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2017年,人口動態統計確定数（日本における日本人）,人,2017,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1317,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2016年,人口動態統計確定数（日本における日本人）,人,2016,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1353,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2015年,人口動態統計確定数（日本における日本人）,人,2015,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1474,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2014年,人口動態統計確定数（日本における日本人）,人,2014,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1496,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2013年,人口動態統計確定数（日本における日本人）,人,2013,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1656,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2010年,人口動態統計確定数（日本における日本人）,人,2010,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2011,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2005年,人口動態統計確定数（日本における日本人）,人,2005,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,2584,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,2000年,人口動態統計確定数（日本における日本人）,人,2000,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,3086,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1995年,人口動態統計確定数（日本における日本人）,人,1995,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1830,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1990年,人口動態統計確定数（日本における日本人）,人,1990,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1349,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1985年,人口動態統計確定数（日本における日本人）,人,1985,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1989,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1980年,人口動態統計確定数（日本における日本人）,人,1980,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,1113,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1975年,人口動態統計確定数（日本における日本人）,人,1975,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,677,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1970年,人口動態統計確定数（日本における日本人）,人,1970,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,490,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1965年,人口動態統計確定数（日本における日本人）,人,1965,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,518,,2026-09-07T07:39:43Z
vital_suicide_age_sex,0003411659,1960年,人口動態統計確定数（日本における日本人）,人,1960,男,50～54歳,表章項目=死亡数,死因年次推移分類=Hi16_自殺,640,,2026-09-07T07:39:43Z
